,Var1,Freq,
35,Madison,10,x
30,Jackson,8,x
32,Lee,6,x
44,Orange,6,x
91,Marion,6,x
98,Sumter,6,x
124,Henry,6,x
139,Washington,6,x
192,Montgomery,6,x
4,Beaufort,4,x
14,Chatham,4,x
19,Davidson,4,x
22,Forsyth,4,x
24,Greene,4,x
36,Martin,4,x
38,Mecklenburg,4,x
49,Randolph,4,x
51,Rockingham,4,x
60,Union,4,x
72,Calhoun,4,x
74,Cherokee,4,x
75,Chesterfield,4,x
89,Laurens,4,x
94,Oconee,4,x
99,York,4,x
105,Carroll,4,x
111,Coffee,4,x
125,Houston,4,x
137,Walker,4,x
138,Walton,4,x
154,Clay,4,x
189,Frederick,4,x
194,Shelby,4,
